etiqueta,hu1,hu2,hu3,hu4,hu5,hu6,hu7,fft1,fft2,fft3,fft4,fft5,fft6,fft7,fft8,fft9,fft10
circle,0.676118,1.87373,3.56981,4.12896,-8.37622,-5.78949,-8.01622,0.981057,0.114225,0.0505112,0.104431,0.0782052,0.0522082,0.0290327,0.0223574,0.0162425,0.0239673
circle,-0.563199,-0.153328,0.411473,1.00679,1.77251,-1.48654,-2.03559,0.991987,0.0268869,0.0263441,0.0217271,0.114054,0.0120817,0.025593,0.00783835,0.01123,0.00875361
circle,0.791476,3.2466,4.21918,6.59485,12.0681,8.26292,12.2919,0.999133,0.000384031,0.0320462,0.0244554,0.00654498,0.0040004,0.00341771,0.00285528,0.00527758,0.001371
circle,-0.475218,0.419887,0.728608,1.33908,-4.72925,1.59987,2.37293,0.997266,0.0355969,0.0298339,0.0144376,0.0390455,0.0347395,0.00215244,0.0168501,0.00854097,0.00131731
circle,0.788606,3.24008,4.00379,5.76529,11.0291,7.93269,10.6914,0.99862,0.0044958,0.0341629,0.0260093,0.022338,0.012447,0.00758259,0.0109673,0.00706478,0.00361719
circle,0.78874,3.47945,3.63618,6.3974,-11.6751,-8.20593,-11.4919,0.998413,0.00643548,0.0433141,0.025655,0.0209238,0.00982261,0.00200554,0.00174593,0.00586633,0.00445614
circle,0.780153,2.86442,3.76046,5.92416,-10.9174,-7.53458,-10.9166,0.997671,0.0148627,0.0509818,0.0342036,0.0109704,0.0130921,0.0106847,0.0106356,0.00420358,0.011233
circle,0.7921,3.8468,4.36076,6.19698,12.089,9.08222,-11.4891,0.999276,0.00912836,0.020344,0.0192957,0.0150704,0.012863,0.0100304,0.00870831,0.00270408,0.00141757
circle,0.790595,3.17661,4.15453,6.38508,-11.6749,-7.99571,-12.1821,0.998927,0.00790792,0.0430177,0.0113199,0.0053616,0.00393758,0.0029616,0.00673136,0.00183893,0.0016155
circle,0.789108,3.08546,5.74801,7.39326,14.043,8.93616,14.2215,0.99888,0.00350197,0.0407118,0.0114412,0.0163557,0.0091061,0.00836056,0.00288843,0.000126829,0.00309137
circle,0.796167,3.83489,5.69984,8.16101,-15.4661,-10.1188,15.134,0.999746,0.00265157,0.0163423,0.00462453,0.0121889,0.00628781,0.00282788,0.00135217,0.00311022,0.00219907
circle,0.782901,2.80768,4.17331,6.02291,-12.0158,-7.78473,11.1246,0.997877,0.00835701,0.060908,0.0137882,0.0088948,0.005372,0.00891101,0.00622381,0.0065829,0.00151911
circle,0.743236,2.14231,5.28908,6.73026,-12.7537,-7.81201,-13.3453,0.993969,0.0189629,0.10572,0.0137595,0.00468724,0.0118641,0.0087114,0.00446131,0.00455237,0.00460527
circle,0.789836,3.17783,4.1986,6.32935,12.4133,8.68807,-11.5984,0.999016,0.00841525,0.0321481,0.0174139,0.0209291,0.00758297,0.00397182,0.000502132,0.00623752,0.00307695
circle,-0.677522,-0.307243,-0.94384,-0.800103,-1.21344,0.75447,-1.64407,0.987817,0.0465244,0.122144,0.0731254,0.00610461,0.0169271,0.0229876,0.0201991,0.0228001,0.00237399
circle,0.746513,2.20541,3.71198,4.89793,9.2326,6.06573,9.64952,0.992944,0.0288588,0.109922,0.0248341,0.0166506,0.0116382,0.0043399,0.00452529,0.00650846,0.00595508
circle,0.789171,3.20587,4.17137,6.31757,-11.6099,-7.93596,-11.9141,0.99881,0.00736737,0.0312578,0.0244986,0.0186712,0.0163403,0.00956472,0.00230726,0.00185084,0.00565022
circle,0.787304,2.92034,5.27856,6.78212,12.8224,8.25708,13.4873,0.998608,0.0127866,0.0486379,0.00837658,0.00747009,0.00553819,0.00840465,0.00312576,0.00202781,0.003463
circle,0.792489,3.54347,4.0142,6.71726,12.3137,8.63023,-12.1751,0.999203,0.00575787,0.0150389,0.0303236,0.0182672,0.00511641,0.00520835,0.00159922,5.04694e-05,0.00495424
circle,0.786204,2.88841,4.5818,6.37753,11.9708,8.05918,12.0522,0.998082,0.00650854,0.0586234,0.00924824,0.00764294,0.00771591,0.00879026,0.003942,0.00737614,0.0018017
circle,0.793568,3.39105,5.21535,7.77405,-14.6149,-9.66244,14.3181,0.999329,0.0109297,0.0290524,0.011172,0.00537878,0.0105466,0.00656323,0.00293711,0.00756244,0.00214742
circle,0.745191,2.16117,4.54118,5.71361,10.9437,6.98268,11.0529,0.991525,0.0113646,0.126869,0.0164298,0.0107147,0.0102996,0.0102831,0.00405923,0.00211688,0.00591218
circle,-0.690184,0.717642,-0.038662,0.0949723,-0.166457,-1.35013,0.494419,0.998556,0.0102873,0.0378542,0.0280494,0.0156855,0.00134851,0.00919383,0.0122516,0.00874534,0.00105373
circle,-0.659853,0.211226,0.573232,-0.0161183,0.270331,-0.137868,-0.986134,0.995768,0.0397903,0.0319956,0.0455811,0.0577668,0.0168139,0.00421709,0.00767289,0.00365277,0.00716308
circle,0.779117,2.6591,4.56219,6.11129,11.5733,7.59859,11.6271,0.997641,0.00726922,0.0662433,0.0133701,0.00415385,0.00437167,0.0033439,0.00333957,0.00545877,0.00206198
circle,0.719815,1.97314,4.04833,4.88088,9.36925,5.93576,9.83756,0.989301,0.041646,0.137623,0.00473266,0.0100196,0.00976584,0.0133596,0.0141441,0.00242597,0.0023961
circle,0.795152,3.87817,4.1952,7.14675,-13.4984,-9.87009,-12.8274,0.999518,0.00894817,0.0218458,0.0169008,0.00696356,0.00537995,0.00341338,0.00400415,0.00183633,0.00359535
circle,0.755069,2.29444,3.82213,5.31297,-9.96119,-6.51959,-10.1346,0.993393,0.0132524,0.106629,0.0307002,0.00734146,0.0229709,0.00683722,0.000998778,0.00370399,0.00624344
circle,0.775534,2.56713,5.12466,6.84893,-12.8709,-8.1411,13.2483,0.997211,0.00198452,0.0733161,0.0026111,0.00817948,0.00124555,0.00526987,0.00249947,0.00670814,0.00602947
circle,0.78722,2.92469,4.70817,6.45795,12.0733,7.97446,-12.4708,0.998725,0.0130551,0.0458858,0.0107906,0.00845356,0.000896704,0.00417428,0.00485334,0.00372261,0.00530997
circle,0.790413,3.15838,4.35586,6.82466,-12.4188,-8.40715,-13.2926,0.998871,0.00408074,0.0404713,0.0169191,0.0133186,0.00149165,0.00686364,0.001576,0.00906644,0.0023001
circle,0.78419,3.0329,3.94413,5.98136,10.946,7.84234,-11.9699,0.997804,0.00620211,0.0389817,0.0300785,0.0285771,0.026316,0.0180137,0.00941021,0.00139008,0.000418887
circle,0.774361,2.66128,3.76481,5.37979,10.4452,7.03077,9.97576,0.99759,0.0519011,0.0397757,0.014754,0.0113747,0.00390772,0.0101394,0.00722699,0.00377086,0.00274505
circle,-0.602844,-0.0296045,-0.155911,-0.0741945,-0.260638,0.418702,-0.160013,0.995158,0.0242382,0.075659,0.0333335,0.0197401,0.0417711,0.00817741,0.0010194,0.000898193,0.00594065
circle,0.782163,2.73509,5.26487,6.94669,14.4867,-9.19542,13.0528,0.997718,0.00456391,0.0647333,0.0101104,0.0077717,0.00930472,0.00891612,0.00225391,0.0033416,0.0013806
circle,0.785074,2.86931,4.20439,5.99168,11.0923,7.43333,12.0561,0.998336,0.00346711,0.0495656,0.0273655,0.00424201,0.00611328,0.00415719,0.00275878,0.00387793,0.00338778
circle,-0.710724,-0.826781,-0.704973,0.230124,-0.252144,0.178112,-0.0710121,0.991143,0.0575102,0.0224767,0.0270038,0.110347,0.0225,0.00670042,0.00640504,0.0160432,0.00819124
circle,0.786651,2.88556,5.25126,6.89319,12.9741,8.34183,-13.6688,0.998414,0.00504116,0.0536865,0.00245688,0.0117867,0.00586669,0.00389927,0.00432906,0.0068676,0.00122874
circle,0.766783,2.43723,4.11419,5.61252,11.0683,7.5293,-10.4905,0.996859,0.0332584,0.0690732,0.0144485,0.00956445,0.00704754,0.00254617,0.0040966,0.000985963,0.00445485
circle,0.797169,4.41148,4.76432,8.08419,-14.5085,-10.3524,-16.3493,0.9999,0.0030333,0.00669705,0.00969533,0.00513921,0.00185666,0.00343485,0.00139763,0.00166692,0.00254198
circle,0.787309,2.95537,4.4048,6.57722,-12.1457,-8.18225,-12.3296,0.99848,0.00162306,0.0521311,0.014443,0.00675039,0.00257606,0.00482302,0.00541008,0.00109587,0.00137856
circle,0.7905,3.23761,4.18713,6.82093,-12.3409,-8.47679,12.8997,0.998738,0.0142575,0.0432903,0.00931057,0.0100593,0.013552,0.00470401,0.00224962,0.00474088,0.00479466
circle,0.745928,2.1703,4.69946,5.95471,11.5499,7.45243,-11.3565,0.994998,0.00286889,0.096281,0.0140488,0.01935,0.00496805,0.00743189,0.00302622,0.00609341,0.00149661
circle,-0.68962,-0.0595716,0.0293738,0.568102,0.924976,0.660572,-1.18142,0.996034,0.0468511,0.0266246,0.0575215,0.0146099,0.0345902,0.0107501,0.00951299,0.00178977,0.00921351
circle,0.731376,2.04718,4.45137,5.82386,-11.0195,-6.90275,11.2764,0.992957,0.031295,0.111101,0.0209136,0.00674117,0.00251529,0.0076304,0.00677081,0.00252334,0.0106533
circle,-0.648723,-0.755513,0.406541,-0.0299595,0.195162,-0.253605,0.56176,0.988637,0.0278282,0.0589652,0.0536972,0.0929248,0.0717678,0.0188705,0.031936,0.0159314,0.00686163
circle,0.767575,2.43351,4.3413,5.83948,11.4636,7.94582,-10.9493,0.995709,0.0135507,0.0896393,0.014578,0.00308291,0.0059786,0.00450923,0.00411453,0.00704981,0.000562653
circle,0.784073,2.91181,3.89753,5.93314,-11.0439,-7.5459,10.9618,0.998594,0.0121338,0.0420152,0.0282517,0.00338427,0.00761645,0.00194896,0.00132839,0.0044318,0.00233413
circle,0.753445,2.25569,4.45542,5.78057,-11.5174,-7.41292,10.9115,0.995838,0.0332135,0.077404,0.0192813,0.0167206,0.0148927,0.0106926,0.00674623,0.0089595,0.00993686
circle,0.782314,2.74901,4.82732,6.54676,-12.2719,-7.93921,12.6304,0.997382,0.0125361,0.0694519,0.00473605,0.00692745,0.00887841,0.00800832,0.00355988,0.00154954,0.00455741
circle,0.735475,2.07739,4.8493,6.01275,11.8371,7.76142,-11.4825,0.991393,0.00698318,0.12634,0.0152862,0.0265397,0.00249755,0.00958861,0.00598394,0.00516186,0.00556849
circle,0.77685,2.60238,4.66821,6.29845,11.9924,7.87987,-11.8853,0.996972,0.0076858,0.0736945,0.0152917,0.0133266,0.0107774,0.00265132,0.00369729,0.00291832,0.00100051
circle,0.777868,2.63916,4.6255,6.29765,-11.7702,-7.62866,-12.4132,0.996893,0.0105375,0.0763259,0.00887201,0.00567705,0.00675591,0.00645011,0.00674918,0.00336432,0.00345737
circle,0.787164,2.94657,4.34946,6.25121,12.1239,8.80454,-11.5677,0.99863,0.00608367,0.046815,0.0170032,0.00822602,0.00702523,0.00485271,0.00314854,0.00806607,0.00206363
circle,0.767694,2.43824,5.24205,6.64128,-13.0207,-7.99358,12.614,0.996176,0.0102079,0.0820314,0.0178754,0.0147102,0.0118136,0.00661802,0.00437627,0.00746609,0.00243771
circle,0.77702,2.6531,4.01742,5.73008,-10.6039,-7.05768,-12.2715,0.997779,0.0304003,0.0497279,0.0264146,0.0138192,0.0091035,0.00170355,0.000319064,0.00579406,0.00557364
circle,0.769452,2.46705,4.80889,6.23672,11.7958,7.5406,12.166,0.996422,0.00672223,0.0806175,0.00380406,0.0211328,0.00860675,0.00222088,0.0033533,0.00670315,0.00152689
circle,0.790373,3.21373,4.35343,7.43391,13.439,9.13402,13.5258,0.998924,0.00399044,0.0374619,0.0160186,0.0187001,0.00887416,0.00340833,0.00281358,0.00506009,0.00124313
circle,0.786484,2.96447,4.08498,6.07999,11.1796,7.56413,11.7223,0.99841,0.0127984,0.0511883,0.0107133,0.00946758,0.00828066,0.00407339,0.00891736,0.00146904,0.00478434
circle,0.781835,2.74511,4.45347,6.23437,-11.9587,-8.04265,-11.6197,0.997982,0.0102269,0.0584404,0.0201859,0.00371506,0.00280473,0.00345997,0.00275366,0.00683737,0.00398071
circle,0.775687,2.56958,4.756,6.33274,12.2451,8.10244,11.9212,0.996816,0.0148677,0.0771943,0.00717638,0.00572329,0.00434868,0.00194807,0.00545245,0.00507613,0.0039928
circle,0.784198,2.93144,4.16987,6.5904,-11.9709,-8.07399,13.3325,0.997984,0.0124052,0.0564389,0.00368404,0.0223064,0.0106793,0.00546719,0.00306477,0.00487812,0.00028839
circle,-0.5745,-0.367767,0.68623,0.309422,0.845831,0.940597,-1.20144,0.994596,0.00794717,0.0222071,0.0284466,0.0834002,0.0274099,0.0203768,0.0323176,0.00954154,0.0124706
circle,0.791396,3.2213,4.25455,6.51887,12.3996,8.69147,11.9291,0.999085,0.00438252,0.0359422,0.0200131,0.00735032,0.00628951,0.00385082,0.000712951,0.00163002,0.00257295
circle,-0.492565,0.393835,0.206928,1.37764,-2.17823,1.69453,2.88284,0.997267,0.0248171,0.0169834,0.0168062,0.0129122,0.0546111,0.027472,0.00770502,0.0138194,0.0108276
circle,0.768248,2.46051,4.0856,5.44319,10.3514,6.93067,10.365,0.996183,0.0202046,0.0831908,0.0103488,0.00389959,0.0044252,0.00478764,0.00858278,0.00654576,0.00307376
circle,0.74279,2.13432,5.95911,7.07612,13.627,8.19918,14.0174,0.993686,0.00748688,0.10994,0.0122561,0.00942759,0.0047489,0.0071034,0.00306512,0.0106516,0.00316968
circle,0.784597,2.8151,4.91786,6.86418,-13.2724,-9.08627,-12.7762,0.997894,0.00241702,0.0615116,0.0117668,0.0131225,0.00576487,0.00678266,0.000956694,0.00476617,0.00217262
circle,0.681334,1.75938,3.76327,4.51539,8.7079,5.62024,-8.9863,0.980451,0.0326598,0.178197,0.0498318,0.0412684,0.0234542,0.0281469,0.00778542,0.0170292,0.0039125
circle,0.796548,4.028,4.66345,7.74351,-14.4015,-10.2893,-13.9756,0.999785,0.00342243,0.0165798,0.00809574,0.00574811,0.00176492,0.00526022,0.00358413,0.000818441,0.000598133
circle,0.793988,3.4993,4.47267,6.81173,12.8249,8.79558,-12.4973,0.999396,0.00574966,0.0301057,0.0131086,0.00456187,0.00597009,0.00464125,0.00146187,0.00303918,0.00276119
circle,-0.510345,-0.084648,0.724307,2.41938,5.11774,2.5597,-3.99245,0.994909,0.0389261,0.016653,0.0575209,0.0649279,0.0256148,0.00415872,0.0112054,0.0045603,0.0044369
circle,0.776957,2.60927,4.3967,6.09647,12.7967,-8.69185,11.3433,0.997742,0.0143009,0.0623293,0.0188644,0.00384601,0.00232471,0.00390858,0.00111811,0.00455318,0.00280829
square,0.752118,2.49604,4.27175,5.57096,-10.5293,-6.82773,-10.895,0.993731,0.0278756,0.0868191,0.0142481,0.0363805,0.0498675,0.00812755,0.00330995,0.00666999,0.00696609
square,-0.748527,-0.826049,-1.20103,-0.770255,-1.22381,-0.530582,1.73631,0.986133,0.0424798,0.103152,0.0949459,0.0251279,0.0215211,0.040858,0.0240256,0.0491776,0.0179417
square,0.777052,3.15278,3.42209,5.25113,-10.1602,-6.99285,9.60388,0.99656,0.0237236,0.011753,0.0700155,0.028309,0.0109729,0.00522504,0.00966307,0.0122661,0.00849525
square,0.756781,2.74557,3.78391,4.96598,9.50117,6.47528,9.48211,0.992407,0.0155071,0.0999862,0.0523598,0.0115874,0.0300254,0.0246587,0.0203213,0.00742559,0.00613034
square,0.773984,3.3044,4.50244,6.08426,11.3908,7.89453,-11.9919,0.995364,0.0240506,0.0545144,0.0524113,0.0318465,0.0341902,0.0185855,0.00783153,0.0140025,0.0128977
square,0.770631,3.50445,3.7126,6.02745,-11.3017,8.12834,-10.9342,0.995593,0.0211793,0.0363334,0.0470965,0.0497135,0.040106,0.0231007,0.011575,0.00469905,0.00617651
square,0.762327,3.15269,5.27572,5.72469,11.36,7.36601,-11.392,0.994605,0.0515986,0.0328923,0.0454904,0.0569269,0.0199751,0.0314094,0.0154403,0.00341056,0.0083794
square,0.769083,3.53239,4.114,5.46842,10.2616,8.59636,11.2854,0.994419,0.0759025,0.0327648,0.0306774,0.0477732,0.0247123,0.0173937,0.00788574,0.00363144,0.00914176
square,0.771284,3.26584,4.16448,6.41529,11.7193,-8.38192,-12.3058,0.99446,0.0167866,0.0608663,0.0807667,0.0174065,0.00398269,0.0105405,0.00716566,0.0071981,0.00265811
square,0.778326,4.24774,3.63929,5.64767,10.373,-8.25269,10.5427,0.99536,0.0342394,0.0182018,0.0559776,0.0619967,0.0109038,0.0123238,0.0145464,0.00950543,0.0143188
square,0.693066,1.93918,4.17109,5.30271,-10.1573,-6.39225,-10.2289,0.990744,0.0570139,0.0869175,0.0513121,0.0647943,0.0242117,0.00562704,0.00492726,0.00298149,0.0118233
square,0.773757,3.71771,5.32425,6.38675,-12.7363,-8.89116,-12.2658,0.99608,0.0303034,0.0142489,0.0437387,0.0583251,0.0304592,0.0108441,0.00845149,0.0102774,0.0129042
square,0.769639,3.12358,4.27044,6.14554,-11.6332,-7.72183,-11.4236,0.994967,0.0275623,0.0700471,0.0162556,0.0202241,0.0532306,0.0250032,0.00434689,0.0118224,0.00919614
square,0.45405,1.60861,4.04629,2.31771,5.50073,-3.60293,-6.66396,0.966674,0.190123,0.0495331,0.0212735,0.0531295,0.117264,0.0673809,0.0497363,0.0471742,0.0260073
square,0.714,2.18399,2.91752,4.66082,-9.00584,-7.1083,8.46746,0.989194,0.0219591,0.0895283,0.0826053,0.064755,0.028838,0.0198656,0.00860126,0.0227178,0.0128182
square,0.759605,2.89896,4.09878,5.6943,10.6098,7.44719,-11.1298,0.993466,0.0418811,0.0838974,0.02693,0.0367662,0.0353485,0.0245688,0.0156181,0.00747377,0.00171999
square,0.757925,2.63473,3.98101,6.52373,-11.8607,-7.94202,-12.0218,0.995258,0.0351287,0.0549952,0.0271274,0.0545152,0.0280633,0.0216112,0.0117083,0.00710764,0.00726913
square,-0.708656,0.0751089,0.26996,-0.00542393,-0.22349,0.0439089,-0.349162,0.996149,0.0293582,0.023037,0.00610228,0.0225219,0.0237837,0.0537555,0.0404289,0.0220299,0.0132413
square,0.770736,3.13293,5.57531,6.79535,-12.9839,8.36611,13.8966,0.996336,0.0062996,0.0176787,0.0414556,0.0625984,0.0239886,0.0248693,0.0109678,0.000847968,0.00334147
square,0.751485,2.55979,4.72818,7.14838,-13.0996,8.429,13.7059,0.994249,0.019525,0.061995,0.0294656,0.0628106,0.0447722,0.0121201,0.00762239,0.0097863,0.0112476
square,0.704694,2.00526,3.85889,5.24263,-9.89833,-6.24711,-10.0016,0.989308,0.0500886,0.0784943,0.092896,0.0305523,0.0145322,0.045056,0.0239209,0.0113036,0.00980335
square,0.784622,3.69014,4.03417,6.1203,-11.4827,-7.96717,-11.2656,0.997714,0.0303945,0.0252831,0.0352042,0.0193632,0.0252215,0.0206026,0.0173918,0.00148493,0.00490059
square,0.730775,2.19176,3.60876,4.98351,9.33212,6.50956,9.61375,0.986016,0.081744,0.132938,0.0387901,0.0238801,0.0287043,0.0153207,0.0134851,0.00927219,0.00398814
square,0.775258,3.746,5.97681,7.57093,-14.6681,-9.63917,-14.4003,0.996493,0.0332907,0.00177083,0.0223306,0.0585031,0.0205379,0.0318097,0.00957016,0.0104297,0.0183242
square,0.765918,3.30954,4.63434,5.93631,11.8835,7.62952,-11.2322,0.995603,0.0392257,0.016951,0.0557111,0.0353192,0.0332638,0.0286797,0.016036,0.0173795,0.0104838
square,-0.615579,-0.366444,-0.279155,-0.545178,-0.387447,-0.726784,0.941007,0.987319,0.0240789,0.0973613,0.039071,0.0975325,0.0266087,0.0385601,0.033016,0.02846,0.00275278
